Algoritmo;Archivo;Tiempo(ns)
Bubble_Sort;vector100kV2;301894782000
Bubble_Sort;vector100kV2;280365033000
Bubble_Sort;vector100kV2;82394438000
Bubble_Sort;vector100kV2;80707338000
Bubble_Sort;vector100kV2;71521972000
Bubble_Sort;vector100kV2;72450003000
Bubble_Sort;vector100kV2;73934330000
Bubble_Sort;vector100kV2;73755836000
Bubble_Sort;vector100kV2;72923287000
Bubble_Sort;vector100kV2;73304667000
Bubble_Sort;vector100kV2;73051848000
Bubble_Sort;vector100kV2;73028253000
Bubble_Sort;vector100kV2;72424524000
Bubble_Sort;vector100kV2;75585806000
Bubble_Sort;vector100kV2;75015175000
Bubble_Sort;vector100kV2;77382962000
Bubble_Sort;vector100kV2;72612185000
Bubble_Sort;vector100kV2;71106645000
Bubble_Sort;vector100kV2;72330327000
Bubble_Sort;vector100kV2;71184888000
Quick_Sort;vector100kV2;26773000
Quick_Sort;vector100kV2;26521000
Quick_Sort;vector100kV2;26458000
Quick_Sort;vector100kV2;26053000
Quick_Sort;vector100kV2;27000000
Quick_Sort;vector100kV2;31363000
Quick_Sort;vector100kV2;27155000
Quick_Sort;vector100kV2;26113000
Quick_Sort;vector100kV2;31221000
Quick_Sort;vector100kV2;27432000
Quick_Sort;vector100kV2;27122000
Quick_Sort;vector100kV2;26565000
Quick_Sort;vector100kV2;26502000
Quick_Sort;vector100kV2;29576000
Quick_Sort;vector100kV2;26713000
Quick_Sort;vector100kV2;26595000
Quick_Sort;vector100kV2;26356000
Quick_Sort;vector100kV2;26828000
Quick_Sort;vector100kV2;27002000
Quick_Sort;vector100kV2;26703000
Insertion_Sort;vector100kV2;17506488000
Insertion_Sort;vector100kV2;18996487000
Insertion_Sort;vector100kV2;18421250000
Insertion_Sort;vector100kV2;18051415000
Insertion_Sort;vector100kV2;18739458000
Insertion_Sort;vector100kV2;18360657000
Insertion_Sort;vector100kV2;18073816000
Insertion_Sort;vector100kV2;17912915000
Insertion_Sort;vector100kV2;17423303000
Insertion_Sort;vector100kV2;17274071000
Insertion_Sort;vector100kV2;19764497000
Insertion_Sort;vector100kV2;17547579000
Insertion_Sort;vector100kV2;19300076000
Insertion_Sort;vector100kV2;17580749000
Insertion_Sort;vector100kV2;17372703000
Insertion_Sort;vector100kV2;18210892000
Insertion_Sort;vector100kV2;18076440000
Insertion_Sort;vector100kV2;21253234000
Insertion_Sort;vector100kV2;18565910000
Insertion_Sort;vector100kV2;17512718000
Merge_Sort;vector100kV2;74063000
Merge_Sort;vector100kV2;72507000
Merge_Sort;vector100kV2;71516000
Merge_Sort;vector100kV2;70503000
Merge_Sort;vector100kV2;82530000
Merge_Sort;vector100kV2;71509000
Merge_Sort;vector100kV2;75001000
Merge_Sort;vector100kV2;70490000
Merge_Sort;vector100kV2;80648000
Merge_Sort;vector100kV2;71612000
Merge_Sort;vector100kV2;72634000
Merge_Sort;vector100kV2;73513000
Merge_Sort;vector100kV2;72597000
Merge_Sort;vector100kV2;73687000
Merge_Sort;vector100kV2;79405000
Merge_Sort;vector100kV2;79594000
Merge_Sort;vector100kV2;71517000
Merge_Sort;vector100kV2;77546000
Merge_Sort;vector100kV2;81975000
Merge_Sort;vector100kV2;76518000
Radix_Sort;vector100kV2;38617000
Radix_Sort;vector100kV2;44489000
Radix_Sort;vector100kV2;38526000
Radix_Sort;vector100kV2;40593000
Radix_Sort;vector100kV2;39648000
Radix_Sort;vector100kV2;40510000
Radix_Sort;vector100kV2;40560000
Radix_Sort;vector100kV2;40524000
Radix_Sort;vector100kV2;45272000
Radix_Sort;vector100kV2;40621000
Radix_Sort;vector100kV2;39628000
Radix_Sort;vector100kV2;41519000
Radix_Sort;vector100kV2;40622000
Radix_Sort;vector100kV2;42522000
Radix_Sort;vector100kV2;40600000
Radix_Sort;vector100kV2;38582000
Radix_Sort;vector100kV2;42529000
Radix_Sort;vector100kV2;40552000
Radix_Sort;vector100kV2;40510000
Radix_Sort;vector100kV2;40524000
Selection_Sort;vector100kV2;23427705000
Selection_Sort;vector100kV2;23521224000
Selection_Sort;vector100kV2;23360837000
Selection_Sort;vector100kV2;23644525000
Selection_Sort;vector100kV2;23503083000
Selection_Sort;vector100kV2;23538930000
Selection_Sort;vector100kV2;23304427000
Selection_Sort;vector100kV2;24979988000
Selection_Sort;vector100kV2;24378161000
Selection_Sort;vector100kV2;24629319000
Selection_Sort;vector100kV2;23907252000
Selection_Sort;vector100kV2;23333650000
Selection_Sort;vector100kV2;23396424000
Selection_Sort;vector100kV2;24046337000
Selection_Sort;vector100kV2;24650890000
Selection_Sort;vector100kV2;24113934000
Selection_Sort;vector100kV2;23637579000
Selection_Sort;vector100kV2;23426322000
Selection_Sort;vector100kV2;23585170000
Selection_Sort;vector100kV2;23632673000
Shell_Sort;vector100kV2;44967000
Shell_Sort;vector100kV2;46070000
Shell_Sort;vector100kV2;46620000
Shell_Sort;vector100kV2;44916000
Shell_Sort;vector100kV2;45602000
Shell_Sort;vector100kV2;49173000
Shell_Sort;vector100kV2;45213000
Shell_Sort;vector100kV2;47336000
Shell_Sort;vector100kV2;47625000
Shell_Sort;vector100kV2;44846000
Shell_Sort;vector100kV2;44848000
Shell_Sort;vector100kV2;47536000
Shell_Sort;vector100kV2;48532000
Shell_Sort;vector100kV2;44953000
Shell_Sort;vector100kV2;45057000
Shell_Sort;vector100kV2;44986000
Shell_Sort;vector100kV2;45570000
Shell_Sort;vector100kV2;49491000
Shell_Sort;vector100kV2;45568000
Shell_Sort;vector100kV2;48258000
Tim_Sort;vector100kV2;34804000
Tim_Sort;vector100kV2;34051000
Tim_Sort;vector100kV2;38336000
Tim_Sort;vector100kV2;34050000
Tim_Sort;vector100kV2;35722000
Tim_Sort;vector100kV2;34736000
Tim_Sort;vector100kV2;36588000
Tim_Sort;vector100kV2;34966000
Tim_Sort;vector100kV2;35138000
Tim_Sort;vector100kV2;34373000
Tim_Sort;vector100kV2;39050000
Tim_Sort;vector100kV2;33920000
Tim_Sort;vector100kV2;41166000
Tim_Sort;vector100kV2;34764000
Tim_Sort;vector100kV2;34049000
Tim_Sort;vector100kV2;34930000
Tim_Sort;vector100kV2;34915000
Tim_Sort;vector100kV2;35987000
Tim_Sort;vector100kV2;36331000
Tim_Sort;vector100kV2;36656000
Heap_Sort;vector100kV2;55915000
Heap_Sort;vector100kV2;55278000
Heap_Sort;vector100kV2;60626000
Heap_Sort;vector100kV2;60800000
Heap_Sort;vector100kV2;54142000
Heap_Sort;vector100kV2;58060000
Heap_Sort;vector100kV2;55176000
Heap_Sort;vector100kV2;61524000
Heap_Sort;vector100kV2;57351000
Heap_Sort;vector100kV2;57791000
Heap_Sort;vector100kV2;58523000
Heap_Sort;vector100kV2;53234000
Heap_Sort;vector100kV2;55442000
Heap_Sort;vector100kV2;55066000
Heap_Sort;vector100kV2;52288000
Heap_Sort;vector100kV2;56871000
Heap_Sort;vector100kV2;53844000
Heap_Sort;vector100kV2;54143000
Heap_Sort;vector100kV2;54820000
Heap_Sort;vector100kV2;55120000
STL;vector100kV2;30148000
STL;vector100kV2;29434000
STL;vector100kV2;29165000
STL;vector100kV2;29383000
STL;vector100kV2;33016000
STL;vector100kV2;32581000
STL;vector100kV2;29050000
STL;vector100kV2;29768000
STL;vector100kV2;30106000
STL;vector100kV2;29675000
STL;vector100kV2;32018000
STL;vector100kV2;32030000
STL;vector100kV2;33568000
STL;vector100kV2;31448000
STL;vector100kV2;29570000
STL;vector100kV2;28731000
STL;vector100kV2;29719000
STL;vector100kV2;30012000
STL;vector100kV2;31032000
STL;vector100kV2;28744000
